Time,CPU,Total_Memory,Free_Memory,Used_Memory,Percentage_Utilization,Bytes_Sent,Bytes_Receive
103,2.0,2097139712,1126146048,130211840,15.5,50614826,78635016
104,0.0,2097139712,1126244352,130113536,15.5,50620215,78638214
105,1.0,2097139712,1126113280,130244608,15.5,50625592,78641742
106,0.0,2097139712,1126178816,130179072,15.5,50630827,78644940
107,1.0,2097139712,1126080512,130277376,15.5,50636128,78648138
108,2.9,2097139712,1126146048,130211840,15.5,50641694,78651868
109,0.0,2097139712,1126211584,130146304,15.5,50646872,78654864
110,1.0,2097139712,1126113280,130244608,15.5,50652631,78658524
111,0.0,2097139712,1126178816,130179072,15.5,50658109,78661660
112,2.0,2097139712,1126244352,130113536,15.5,50663255,78664590
113,1.0,2097139712,1126146048,130211840,15.5,50668436,78667788
114,2.0,2097139712,1126211584,130146304,15.5,50673737,78671088
115,1.0,2097139712,1126080512,130277376,15.5,50679291,78673960
116,1.0,2097139712,1126146048,130211840,15.5,50684560,78676432
117,1.0,2097139712,1126178816,130179072,15.5,50689799,78678970
118,0.0,2097139712,1126244352,130113536,15.5,50694869,78681306
119,0.0,2097139712,1126080512,130277376,15.5,50700224,78684108
120,1.0,2097139712,1126146048,130211840,15.5,50705810,78686914
121,1.0,2097139712,1126211584,130146304,15.5,50711106,78689580
122,2.0,2097139712,1126080512,130277376,15.5,50716496,78692316
123,1.0,2097139712,1126146048,130211840,15.5,50722127,78694990
124,2.0,2097139712,1126178816,130179072,15.5,50727177,78697392
125,2.0,2097139712,1126244352,130113536,15.5,50732659,78700264
126,1.0,2097139712,1126113280,130113536,15.5,50737763,78702732
127,1.0,2097139712,1126178816,130179072,15.5,50743336,78705798
128,0.0,2097139712,1126244352,130113536,15.5,50748760,78708406
129,2.0,2097139712,1126113280,130244608,15.5,50753818,78710940
130,0.0,2097139712,1126178816,130179072,15.5,50758761,78713808
131,1.9,2097139712,1126244352,130113536,15.5,50764443,78716482
132,2.0,2097139712,1126080512,130277376,15.5,50769731,78719016
133,1.0,2097139712,1126146048,130211840,15.5,50775111,78721558
134,1.0,2097139712,1126211584,130146304,15.5,50780235,78724224
135,0.0,2097139712,1126080512,130277376,15.5,50785689,78726874
136,1.0,2097139712,1126080512,130244608,15.5,50791080,78729346
137,0.0,2097139712,1126178816,130179072,15.5,50796863,78732346
138,1.0,2097139712,1126244352,130113536,15.5,50802482,78735214
139,0.0,2097139712,1126244352,130244608,15.5,50807922,78737946
140,1.0,2097139712,1126178816,130179072,15.5,50813157,78740682
141,1.0,2097139712,1126244352,130113536,15.5,50818581,78743356
142,1.0,2097139712,1126080512,130277376,15.5,50823774,78746026
143,1.0,2097139712,1126146048,130211840,15.5,50828964,78748564
144,1.0,2097139712,1126211584,130146304,15.5,50834255,78751230
145,1.0,2097139712,1126080512,130277376,15.5,50839622,78754032
146,0.0,2097139712,1126146048,130211840,15.5,50844835,78756834
147,2.9,2097139712,1126178816,130179072,15.5,50850158,78759570
148,0.0,2097139712,1126113280,130244608,15.5,50855415,78762240
149,2.0,2097139712,1126113280,130244608,15.5,50860794,78765042
150,1.0,2097139712,1126178816,130179072,15.5,50866414,78767980
151,0.0,2097139712,1126244352,130113536,15.5,50871450,78770448
152,2.9,2097139712,1126113280,130244608,15.5,50876795,78773184
153,0.0,2097139712,1126178816,130179072,15.5,50882074,78775920
154,2.0,2097139712,1126244352,130113536,15.5,50887497,78778722
155,0.0,2097139712,1126113280,130244608,15.5,50892884,78781656
156,0.0,2097139712,1126178816,130179072,15.5,50898251,78784392
157,1.0,2097139712,1126244352,130113536,15.5,50903663,78787264
158,0.0,2097139712,1126113280,130244608,15.5,50909080,78790132
159,1.0,2097139712,1126178816,130179072,15.5,50914096,78792732
160,0.0,2097139712,1126211584,130146304,15.5,50919505,78795534
161,3.9,2097139712,1126080512,130277376,15.5,50924928,78798492
162,0.0,2097139712,1126146048,130211840,15.5,50930308,78801034
163,1.9,2097139712,1126211584,130146304,15.5,50935366,78803568
164,0.0,2097139712,1126080512,130277376,15.5,50940819,78806568
165,2.0,2097139712,1126113280,130244608,15.5,50946485,78809572
166,1.0,2097139712,1126178816,130179072,15.5,50951661,78812304
167,1.0,2097139712,1126244352,130113536,15.5,50956776,78814908
168,1.0,2097139712,1126113280,130244608,15.5,50962197,78817752
169,0.0,2097139712,1126178816,130179072,15.5,50967741,78820492
170,1.0,2097139712,1126244352,130113536,15.5,50973144,78823162
171,2.0,2097139712,1126113280,130244608,15.5,50978386,78825894
172,1.0,2097139712,1126178816,130179072,15.5,50983827,78828894
173,2.0,2097139712,1126244352,130113536,15.5,50988920,78831696
174,1.0,2097139712,1126113280,130244608,15.5,50994542,78834634
175,1.0,2097139712,1126178816,130179072,15.5,51000024,78837498
176,2.0,2097139712,1126244352,130113536,15.5,51005590,78840370
177,2.0,2097139712,1126113280,130244608,15.5,51010859,78842842
178,1.9,2097139712,1126146048,130211840,15.5,51015961,78845310
179,1.0,2097139712,1126211584,130146304,15.5,51021108,78848178
180,1.0,2097139712,1126080512,130277376,15.5,51026872,78850984
181,1.0,2097139712,1126146048,130211840,15.5,51032291,78853852
182,2.0,2097139712,1126211584,130146304,15.5,51037393,78856188
183,0.0,2097139712,1126277120,130080768,15.5,51042750,78858726
184,2.9,2097139712,1126113280,130244608,15.5,51048424,78861730
185,0.0,2097139712,1126178816,130179072,15.5,51053438,78864264
186,1.9,2097139712,1126244352,130113536,15.5,51058793,78867132
187,0.0,2097139712,1126080512,130277376,15.5,51064138,78870000
188,2.9,2097139712,1126146048,130211840,15.5,51069812,78872938
189,0.0,2097139712,1126211584,130146304,15.5,51074914,78875406
190,1.0,2097139712,1126080512,130277376,15.5,51080348,78878476
191,1.0,2097139712,1126146048,130211840,15.5,51085693,78881278
192,2.0,2097139712,1126211584,130142208,15.5,51091232,78883948
193,1.0,2097139712,1126080512,130273280,15.5,51096476,78886614
194,2.0,2097139712,1126146048,130207744,15.5,51101856,78889156
195,1.0,2097139712,1126211584,130142208,15.5,51106870,78891690
196,1.0,2097139712,1126277120,130076672,15.5,51112059,78894426
196,1.0,2097139712,1126113280,130240512,15.5,51117218,78896898
198,1.0,2097139712,1126178816,130166784,15.5,51122493,78899634
199,1.9,2097139712,1126244352,130101248,15.5,51127928,78902502
200,2.0,2097139712,1126113280,130232320,15.5,51133335,78905172
201,0.0,2097139712,1126178816,130166784,15.5,51138921,78908176
202,1.9,2097139712,1126244352,130101248,15.5,51143979,78910776
203,1.0,2097139712,1126113280,130232320,15.5,51149338,78913380
204,0.0,2097139712,1126178816,130166784,15.5,51154691,78916158
205,1.0,2097139712,1126211584,130134016,15.5,51159784,78918894
206,1.0,2097139712,1126080512,130265088,15.5,51165164,78921436
207,1.0,2097139712,1126146048,130199552,15.5,51170587,78924040
208,0.0,2097139712,1126211584,130134016,15.5,51175969,78926970
209,1.0,2097139712,1126277120,130068480,15.5,51181437,78929710
210,2.0,2097139712,1126113280,130232320,15.5,51186593,78932310
211,0.0,2097139712,1126178816,130166784,15.5,51191840,78934914
212,2.0,2097139712,1126211584,130134016,15.5,51197220,78937456
213,1.0,2097139712,1126080512,130265088,15.5,51202609,78940192
214,0.0,2097139712,1126146048,130199552,15.5,51207785,78942858
215,2.0,2097139712,1126211584,130134016,15.5,51213260,78945792
217,1.0,2097139712,1126146048,130199552,15.5,51223984,78951132
218,0.0,2097139712,1126211584,130134016,15.5,51229339,78953934
219,1.0,2097139712,1126080512,130265088,15.5,51234807,78956740
220,1.9,2097139712,1126113280,130232320,15.5,51240208,78959410
221,1.0,2097139712,1126178816,130166784,15.5,51245781,78962476
222,1.0,2097139712,1126277120,130068480,15.5,51251175,78965406
223,2.0,2097139712,1126146048,130199552,15.5,51256552,78968142
224,1.0,2097139712,1126211584,130134016,15.5,51262074,78970948
224,2.0,2097139712,1126244352,130101248,15.5,51267394,78973548
226,2.0,2097139712,1126113280,130232320,15.5,51272757,78976416
227,1.0,2097139712,1126178816,130166784,15.5,51278497,78979354
228,1.0,2097139712,1126244352,130101248,15.5,51283621,78981822
229,2.0,2097139712,1126113280,130232320,15.5,51289086,78984624
230,0.0,2097139712,1126178816,130166784,15.5,51294674,78987628
231,2.0,2097139712,1126244352,130101248,15.5,51299850,78990396
232,1.0,2097139712,1126080512,130265088,15.5,51304989,78993000
233,2.0,2097139712,1126146048,130199552,15.5,51310336,78995670
234,0.0,2097139712,1126211584,130134016,15.5,51315615,78998472
235,0.0,2097139712,1126080512,130265088,15.5,51321191,79001278
236,2.9,2097139712,1126113280,130232320,15.5,51326217,79003548
237,0.0,2097139712,1126178816,130166784,15.5,51331584,79006416
238,1.0,2097139712,1126244352,130101248,15.5,51336871,79009194
239,1.9,2097139712,1126113280,130232320,15.5,51342018,79011996
240,0.0,2097139712,1126178816,130166784,15.5,51347461,79014798
241,3.0,2097139712,1126244352,130101248,15.5,51352739,79017208
242,2.0,2097139712,1126113280,130232320,15.5,51357787,79019676
243,1.0,2097139712,1126146048,130199552,15.5,51363407,79022614
244,1.0,2097139712,1126211584,130134016,15.5,51368588,79025086
245,1.0,2097139712,1126080512,130265088,15.5,51373815,79027690
246,2.9,2097139712,1126146048,130199552,15.5,51378849,79030356
247,1.0,2097139712,1126211584,130134016,15.5,51384138,79033158
248,0.0,2097139712,1126080512,130265088,15.5,51389714,79035964
